item,labelEn,labelAr
http://www.wikidata.org/entity/Q19952788,Adrian Adams,أدريان آدامز
http://www.wikidata.org/entity/Q15833456,Malou Airaudo,مالو أيرودو
http://www.wikidata.org/entity/Q21517428,Helen Kennedy,هيلين كينيدي
http://www.wikidata.org/entity/Q16567074,Janet Stevens,جانيت ستيفنز
http://www.wikidata.org/entity/Q16050975,Zhinous Nemat Mahmoudi,زينوس نعمت محمودي
http://www.wikidata.org/entity/Q18016466,Lydia Pintscher,ليديا بينتشر
http://www.wikidata.org/entity/Q21391032,Alison Margaret Murray,أليسون موراي
http://www.wikidata.org/entity/Q16002465,Alexandra Wilson,ألكساندرا ويلسون
http://www.wikidata.org/entity/Q15623734,Andrea Fischer,اندريا فيشر
http://www.wikidata.org/entity/Q18019953,Emma Baumann,إيما باومان
http://www.wikidata.org/entity/Q21402730,Felicity Jones,فيليسيتي جونز
http://www.wikidata.org/entity/Q21395014,Janet Kuhn,جانيت كوهن
http://www.wikidata.org/entity/Q16298676,Frances G. Davies,فرانسيس ديفيز
http://www.wikidata.org/entity/Q21502510,Jennifer A. Lane,جينيفر أ. لين
http://www.wikidata.org/entity/Q21502765,Lorraine D. Cook,لورين دي. كوك
http://www.wikidata.org/entity/Q21524614,Mildred Dean,ميلدريد دين
http://www.wikidata.org/entity/Q21394797,Magdalena K.P. Smith Meyer,ماغدالينا سميث
http://www.wikidata.org/entity/Q21483196,Florence Rousseau,فلورنسا روسو
http://www.wikidata.org/entity/Q21502702,Céline Leroy,سيلين (اسم) لوروا
http://www.wikidata.org/entity/Q15303665,Doris Nagel,دوريس ناغل
http://www.wikidata.org/entity/Q21518122,Marta Fernández,مارتا إس. فرنانديز
http://www.wikidata.org/entity/Q18625447,Helga Pollak,هيلغا بولك
http://www.wikidata.org/entity/Q15438879,Christine Müller,كريستين مولر
http://www.wikidata.org/entity/Q15457387,Florence Dupont,فلورنسا دوبونت
http://www.wikidata.org/entity/Q21520164,Valerie May,فاليري ماي
http://www.wikidata.org/entity/Q16944847,Maria Cristina Díaz,ماريا كريستينا دياز
http://www.wikidata.org/entity/Q15973277,Marie-Françoise André,ماري أندريه
http://www.wikidata.org/entity/Q18912674,Mary Alice Marshall,ماري مارشال
http://www.wikidata.org/entity/Q18984129,Ellen A. Dean,إلين أ. دين
http://www.wikidata.org/entity/Q18576619,Kathleen Lloyd Jones,كاثلين جونز
http://www.wikidata.org/entity/Q21516563,Leslie Lewis,ليزلي لويس
http://www.wikidata.org/entity/Q18957704,Ida Eberhardt,إيدا إيبرهارت
http://www.wikidata.org/entity/Q21255296,Barbara Kraus,باربرا كراوس
http://www.wikidata.org/entity/Q21340211,Rachael A. King,رايتشل أ. كينغ
http://www.wikidata.org/entity/Q21503100,Karen D. Green,دي. جرين
http://www.wikidata.org/entity/Q20089047,Hanna Adler,هانا أدلر
http://www.wikidata.org/entity/Q50833421,Sabine Ziegler,سابين زيغلر
http://www.wikidata.org/entity/Q43267980,Marta García,مارتا غارسيا
http://www.wikidata.org/entity/Q48002587,Renata Lesnik,لسنيك، ريناتا
http://www.wikidata.org/entity/Q27058583,Emily A. Glover,إميلي أ. غلوفر
http://www.wikidata.org/entity/Q28922750,Carmen Rísquez Cuenca,كارمين كوينكا
http://www.wikidata.org/entity/Q37860261,Lucie-Aimée Kaffee,لوسي إيمي كافي
http://www.wikidata.org/entity/Q23795664,Rachel Armstrong,راشيل أرمسترونغ
http://www.wikidata.org/entity/Q34591710,Inès Safi,إيناس صافي
http://www.wikidata.org/entity/Q22712786,Amira Chaabane,أميرة شعبان
http://www.wikidata.org/entity/Q48069979,Margarita Mitchell,مارغريتا ميتشيل
http://www.wikidata.org/entity/Q55755058,Laura M. Cox,لورا إم. كوكس
http://www.wikidata.org/entity/Q39040026,Mary Vaughan Jones,ماري فوغان جونز
http://www.wikidata.org/entity/Q52779339,Eva Fernández,إيفا فرنانديز
http://www.wikidata.org/entity/Q25802840,Nicole Klein,نيكول كلاين
http://www.wikidata.org/entity/Q23728286,Sara Lewis,سارا لويس
http://www.wikidata.org/entity/Q41711471,Florence Oliver-Coron,فلورنسا أوليفر
http://www.wikidata.org/entity/Q47122737,Margaret O. Mitchell,مارغريت إو. ميتشيل
http://www.wikidata.org/entity/Q30146162,Isabel Rey,إيزابيل ري
http://www.wikidata.org/entity/Q30336764,Alice Foster,أليس فوستر
http://www.wikidata.org/entity/Q40296311,Carole A. Morrison,كارول أ. موريسون
http://www.wikidata.org/entity/Q37605592,Elizabeth M. Kennedy,إليزابيث إم. كينيدي
http://www.wikidata.org/entity/Q42299779,Ulrike Meyer,أولريكه ماير
http://www.wikidata.org/entity/Q51880204,Erika Horn,اريكا هورن
http://www.wikidata.org/entity/Q26437004,Barbara Becker,باربرا بيكر
http://www.wikidata.org/entity/Q47353334,Christine Milligan,كريستين ميليغان
http://www.wikidata.org/entity/Q22102548,Jennifer M. Cox,جينيفر إم. كوكس
http://www.wikidata.org/entity/Q55772988,Renée Rochefort,رينيه روشفور
http://www.wikidata.org/entity/Q40283634,Claudia Cooper,كلوديا كوبر
http://www.wikidata.org/entity/Q27670313,Magdalena Schmidt,ماغدالينا شميت
http://www.wikidata.org/entity/Q50788129,Donna Arnold,دونا أرنولد
http://www.wikidata.org/entity/Q29571024,Elizabeth M. King,إليزابيث إم. كينغ
http://www.wikidata.org/entity/Q43971190,Jean M. Cook,جيان إم. كوك
http://www.wikidata.org/entity/Q53834036,Anna Berliner,آنا برلينر
http://www.wikidata.org/entity/Q29607252,Maria Becker,ماريا بيكر
http://www.wikidata.org/entity/Q28938236,Elaine Bennett,إلين بينيت
http://www.wikidata.org/entity/Q41798718,Judith M. Dean,جوديث إم. دين
http://www.wikidata.org/entity/Q24849508,Hanna Katan,حانا كاطان
http://www.wikidata.org/entity/Q40705344,Molly M. King,مولي إم. كينغ
http://www.wikidata.org/entity/Q25800143,Kathleen S. Cole,كاثلين إس. كول
http://www.wikidata.org/entity/Q24054265,Rebecca L. Sanchez,ريبيكا سانشيز
http://www.wikidata.org/entity/Q22106724,Patricia Fernández,باتريشيا فرنانديز
http://www.wikidata.org/entity/Q22107687,Michelle Kelly,ميشيل كيلي
http://www.wikidata.org/entity/Q30005864,Jacqueline Bloch,جاكلين بلوخ
http://www.wikidata.org/entity/Q30141672,Rachel Sargent Robinson,راشيل روبنسون
http://www.wikidata.org/entity/Q22981854,Elena González Rey,إيلينا غونزاليس
http://www.wikidata.org/entity/Q23010913,Annie Laurent,آني لوران
http://www.wikidata.org/entity/Q23759094,Sabine Müller-Mall,سابين مولر
http://www.wikidata.org/entity/Q30072173,Karen L. Palmer,كارين إل. بالمر
http://www.wikidata.org/entity/Q50368899,Michelle Leclerc,ميشيل لو كلارك
http://www.wikidata.org/entity/Q23071703,Wanda Kaczmarek,واندا كازماريك
http://www.wikidata.org/entity/Q51496225,Victoria Castro,فيكتوريا كاسترو
http://www.wikidata.org/entity/Q23068672,Anna Dekker,آنا ديكر
http://www.wikidata.org/entity/Q23138172,Mercedes Rodrigo,مرسيدس رودريغو
http://www.wikidata.org/entity/Q22105978,Meredith L. Jones,ميريديث إل. جونز
http://www.wikidata.org/entity/Q47002646,Susan C. Jones,سوزان سي. جونز
http://www.wikidata.org/entity/Q23782708,Ann Cooper,آن كوبر
http://www.wikidata.org/entity/Q25368065,Sonia Fisch-Muller,Sonia Fisch-Muller
http://www.wikidata.org/entity/Q47038330,Emma Jones,إيما جونز
http://www.wikidata.org/entity/Q43702242,Marilyn Palmer,مارلين بالمر
http://www.wikidata.org/entity/Q28820016,Julie Lund,جولي لوند
http://www.wikidata.org/entity/Q24695374,Sandra Pérez,ساندرا بيريز
http://www.wikidata.org/entity/Q30504323,Sarah E. Hunt,سارة إي. هنت
http://www.wikidata.org/entity/Q52149380,Gisela Weiss,جيزيلا فايس
http://www.wikidata.org/entity/Q28057769,Ilona Weiss,إيلونا فايس
http://www.wikidata.org/entity/Q23650517,Louise A. Lewis,لويز أ. لويس
http://www.wikidata.org/entity/Q50413535,Carmen García Ruiz,كارمين غارسيا رويز
http://www.wikidata.org/entity/Q36348311,Michelle R. Gordon,ميشيل غوردون
http://www.wikidata.org/entity/Q28971048,Dalia Sabri,داليا صبري
http://www.wikidata.org/entity/Q29570391,Margaret Meyer,مارغريت ماير
http://www.wikidata.org/entity/Q21707937,Michelle Moreau-Ricaud,ميشيل مورو
http://www.wikidata.org/entity/Q30084448,Mary A. Weiss,ماري أ. فايس
http://www.wikidata.org/entity/Q30144502,Stephanie L. Jones,ستيفاني إل. جونز
http://www.wikidata.org/entity/Q30144536,Stephanie L. Jones,ستيفاني إل. جونز
http://www.wikidata.org/entity/Q56154541,Mary Lewis,ماري لويس
http://www.wikidata.org/entity/Q30228176,Camilla Pettersen,كاميلا بيترسن
http://www.wikidata.org/entity/Q50384917,Hilary Becker,هيلاري بيكر
http://www.wikidata.org/entity/Q44419575,Olfa Yakoubi,ألفة يعقوبي
http://www.wikidata.org/entity/Q47654353,Estelle Villeneuve,إستيل فيلنوف
http://www.wikidata.org/entity/Q22109167,Kelly R. Richards,كيلي آر. ريتشاردز
http://www.wikidata.org/entity/Q42416510,Gillian Hurst,جيليان هيرست
http://www.wikidata.org/entity/Q35880732,Margaret F. Smith,مارغريت إف. سميث
http://www.wikidata.org/entity/Q26714871,Maria Dolors García Ramón,ماريا غارسيا
http://www.wikidata.org/entity/Q23540810,Dorothy Jones,دوروثي جونز
http://www.wikidata.org/entity/Q27665503,Julia Baumann,جوليا باومان
