item	itemLabel
http://www.wikidata.org/entity/Q576634	María de las Mercedes Ciciarelli
http://www.wikidata.org/entity/Q494143	Andrea Jennert
http://www.wikidata.org/entity/Q521808	Galina Shatalova
http://www.wikidata.org/entity/Q533401	Isabelle Robinet
http://www.wikidata.org/entity/Q543953	Mari Saat
http://www.wikidata.org/entity/Q550845	Anita Salta
http://www.wikidata.org/entity/Q551096	Anja Göritz
http://www.wikidata.org/entity/Q562001	Anna Maria Jokl
http://www.wikidata.org/entity/Q563536	Anna Vorwerk
http://www.wikidata.org/entity/Q565206	Anne Deane Berman
http://www.wikidata.org/entity/Q565474	Anne Katrin Matyssek
http://www.wikidata.org/entity/Q565896	Anne Wilson Schaef
http://www.wikidata.org/entity/Q566171	Anneliese Niethammer
http://www.wikidata.org/entity/Q566507	Annetta Alexandridis
http://www.wikidata.org/entity/Q768616	Q768616
http://www.wikidata.org/entity/Q578400	Margit Wein
http://www.wikidata.org/entity/Q584784	Antje Krug
http://www.wikidata.org/entity/Q866811	Q866811
http://www.wikidata.org/entity/Q675056	Arlene Swidler
http://www.wikidata.org/entity/Q750526	Astrid Beckmann
http://www.wikidata.org/entity/Q750821	Astrid Schütz
http://www.wikidata.org/entity/Q760850	Éva Andor
http://www.wikidata.org/entity/Q792678	Judit Benczik
http://www.wikidata.org/entity/Q792708	Lívia Bende
http://www.wikidata.org/entity/Q807453	Barbara Hahn
http://www.wikidata.org/entity/Q807526	Barbara Kühnert
http://www.wikidata.org/entity/Q807644	Barbara Sponholz
http://www.wikidata.org/entity/Q807674	Barbara Vierneisel-Schlörb
http://www.wikidata.org/entity/Q832641	Bettina Heintz
http://www.wikidata.org/entity/Q813117	Beate Albrecht
http://www.wikidata.org/entity/Q611187	Sudha Shenoy
http://www.wikidata.org/entity/Q804026	Rozália Biró
http://www.wikidata.org/entity/Q813104	Beata Hlavenková
http://www.wikidata.org/entity/Q813186	Beate Salje
http://www.wikidata.org/entity/Q826490	Bernhild Thormaehlen
http://www.wikidata.org/entity/Q863716	Binette Lipper
http://www.wikidata.org/entity/Q763879	Edit Brugovitzky
http://www.wikidata.org/entity/Q790232	Tünde Klára Baranyai
http://www.wikidata.org/entity/Q804028	Biró Ágnes
http://www.wikidata.org/entity/Q807595	Barbara Clara Renz
http://www.wikidata.org/entity/Q807636	Barbara Slawig
http://www.wikidata.org/entity/Q813110	Beata Ziegler
http://www.wikidata.org/entity/Q813156	Beate Krais
http://www.wikidata.org/entity/Q813178	Beate Ratter
http://www.wikidata.org/entity/Q831150	Beth Slikas
http://www.wikidata.org/entity/Q865256	Birgit Keller
http://www.wikidata.org/entity/Q813303	Beatriz Armendáriz
http://www.wikidata.org/entity/Q600551	Ehrentraud Bayer
http://www.wikidata.org/entity/Q608477	Ágnes Néda
http://www.wikidata.org/entity/Q669948	Jana Koubková
http://www.wikidata.org/entity/Q682243	Mikoto Misaka
http://www.wikidata.org/entity/Q750552	Astrid Fagraeus
http://www.wikidata.org/entity/Q774161	Piroska Apró
http://www.wikidata.org/entity/Q793324	Ayten Kiliçarslan
http://www.wikidata.org/entity/Q817332	Benita Luckmann
http://www.wikidata.org/entity/Q834870	Anna Borgos
http://www.wikidata.org/entity/Q848747	Katalin Boér-Sorbán
http://www.wikidata.org/entity/Q852770	Alice Balint
http://www.wikidata.org/entity/Q865275	Birgit Lohmeyer
http://www.wikidata.org/entity/Q865279	Birgit Mandel
http://www.wikidata.org/entity/Q865386	Birgitta Kleinschwärzer-Meister
http://www.wikidata.org/entity/Q850040	Bettina Rockenbach
http://www.wikidata.org/entity/Q598753	Antonie Wlosok
http://www.wikidata.org/entity/Q632878	Lourdes Arizpe
http://www.wikidata.org/entity/Q691067	María Antonia Avilés Perea
http://www.wikidata.org/entity/Q750717	Astrid Nunn
http://www.wikidata.org/entity/Q807511	Barbara Kolm
http://www.wikidata.org/entity/Q807676	Barbara Wachinger
http://www.wikidata.org/entity/Q850032	Bettina Reichenbacher
http://www.wikidata.org/entity/Q854281	Erzsébet von Burchard-Bélavary
http://www.wikidata.org/entity/Q865320	Birgit Rommelspacher
http://www.wikidata.org/entity/Q771732	Margit Antal
http://www.wikidata.org/entity/Q686721	Amanda Elstak
http://www.wikidata.org/entity/Q750600	Astrid Huber-Aulmann
http://www.wikidata.org/entity/Q789435	Katalin Balla
http://www.wikidata.org/entity/Q790639	Beáta Barnabás
http://www.wikidata.org/entity/Q790929	Judit Bartholy
http://www.wikidata.org/entity/Q794617	Aída Bonnelly de Díaz
