item	article	label
http://www.wikidata.org/entity/Q5864454	https://ca.wikipedia.org/wiki/Fototeca_Municipal_de_Sevilla	Fototeca Municipal de Sevilla
http://www.wikidata.org/entity/Q17156954	https://ca.wikipedia.org/wiki/Arxiu_Municipal_Administratiu_de_Terrassa	Arxiu Municipal Administratiu de Terrassa
http://www.wikidata.org/entity/Q6431840	https://ca.wikipedia.org/wiki/Arxiu_de_Pel%C2%B7l%C3%ADcules_Coreanes	Arxiu de Pel·lícules Coreanes
http://www.wikidata.org/entity/Q17152382	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_de_la_Ciutat_de_Badalona	Arxiu Històric de la Ciutat de Badalona
http://www.wikidata.org/entity/Q17152386	https://ca.wikipedia.org/wiki/Arxiu_Capitular_de_Lleida	Arxiu Capitular de Lleida
http://www.wikidata.org/entity/Q17152396	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_de_Lleida	Arxiu Històric de Lleida
http://www.wikidata.org/entity/Q17156949	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_del_Pla_de_l%27Estany	Arxiu Comarcal del Pla de l'Estany
http://www.wikidata.org/entity/Q17156952	https://ca.wikipedia.org/wiki/Arxiu_del_So_i_de_la_Imatge_de_Mallorca	Arxiu del So i de la Imatge de Mallorca
http://www.wikidata.org/entity/Q17156956	https://ca.wikipedia.org/wiki/Arxiu_Tobella	Arxiu Tobella
http://www.wikidata.org/entity/Q17152381	https://ca.wikipedia.org/wiki/Arxius_de_les_Esgl%C3%A9sies_i_de_les_comunitats_confessionals	Arxius de les Esglésies i de les comunitats confessionals
http://www.wikidata.org/entity/Q17156938	https://ca.wikipedia.org/wiki/Arxiu_Fotogr%C3%A0fic_del_Centre_Excursionista_de_Catalunya	Arxiu Fotogràfic del Centre Excursionista de Catalunya
http://www.wikidata.org/entity/Q17156948	https://ca.wikipedia.org/wiki/Arxiu_del_Parlament_de_Catalunya	Arxiu del Parlament de Catalunya
http://www.wikidata.org/entity/Q5449162	https://ca.wikipedia.org/wiki/Filmoteca_Espanyola	Filmoteca Espanyola
http://www.wikidata.org/entity/Q670848	https://ca.wikipedia.org/wiki/Centre_Internacional_de_Recerca_de_l%27Anarquisme	Centre Internacional de Recerca de l'Anarquisme
http://www.wikidata.org/entity/Q371908	https://ca.wikipedia.org/wiki/Albertina	Albertina
http://www.wikidata.org/entity/Q666063	https://ca.wikipedia.org/wiki/Biblioteca_Nacional_de_Gal%C2%B7les	Biblioteca Nacional de Gal·les
http://www.wikidata.org/entity/Q11906817	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_del_Museu_Rom%C3%A0ntic_de_Can_Papiol	Arxiu Històric del Museu Romàntic de Can Papiol
http://www.wikidata.org/entity/Q11906805	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_del_Baix_Camp	Arxiu Comarcal del Baix Camp
http://www.wikidata.org/entity/Q11154055	https://ca.wikipedia.org/wiki/Centre_Nacional_Audiovisual	Centre Nacional Audiovisual
http://www.wikidata.org/entity/Q8203683	https://ca.wikipedia.org/wiki/Arxiu_del_Regne_de_Val%C3%A8ncia	Arxiu del Regne de València
http://www.wikidata.org/entity/Q11906802	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_de_la_Conca_de_Barber%C3%A0	Arxiu Comarcal de la Conca de Barberà
http://www.wikidata.org/entity/Q11906809	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_del_Maresme	Arxiu Comarcal del Maresme
http://www.wikidata.org/entity/Q11906815	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_de_Roquetes-Nou_Barris	Arxiu Històric de Roquetes-Nou Barris
http://www.wikidata.org/entity/Q11906818	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_del_Poblenou	Arxiu Històric del Poblenou
http://www.wikidata.org/entity/Q11906810	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_del_Vall%C3%A8s_Oriental	Arxiu Comarcal del Vallès Oriental
http://www.wikidata.org/entity/Q11906819	https://ca.wikipedia.org/wiki/Arxiu_Montserrat_Tarradellas_i_Maci%C3%A0	Arxiu Montserrat Tarradellas i Macià
http://www.wikidata.org/entity/Q64691915	https://ca.wikipedia.org/wiki/Arxiu_General_del_Consell_de_Mallorca	Arxiu General del Consell de Mallorca
http://www.wikidata.org/entity/Q11906803	https://ca.wikipedia.org/wiki/Arxiu_Central_dels_Jutjats_de_la_Ciutat_de_la_Just%C3%ADcia_de_Barcelona	Arxiu Central dels Jutjats de la Ciutat de la Justícia de Barcelona
http://www.wikidata.org/entity/Q11906806	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_del_Bages	Arxiu Comarcal del Bages
http://www.wikidata.org/entity/Q11906813	https://ca.wikipedia.org/wiki/Arxiu_Fidel_Fita	Arxiu Històric Fidel Fita d'Arenys de Mar
http://www.wikidata.org/entity/Q1023323	https://ca.wikipedia.org/wiki/CEGES-SOMA	CEGES-SOMA
http://www.wikidata.org/entity/Q8203649	https://ca.wikipedia.org/wiki/Arxiu_Nacional_de_Catalunya	Arxiu Nacional de Catalunya
http://www.wikidata.org/entity/Q850178	https://ca.wikipedia.org/wiki/Arxiu_Bettmann	Arxiu Bettmann
http://www.wikidata.org/entity/Q913250	https://ca.wikipedia.org/wiki/Biblioteca_i_Arxius_de_Canad%C3%A0	Biblioteca i Arxius del Canadà
http://www.wikidata.org/entity/Q758610	https://ca.wikipedia.org/wiki/Rijksbureau_voor_Kunsthistorische_Documentatie	RKD-Nederlands Instituut voor Kunstgeschiedenis
http://www.wikidata.org/entity/Q975659	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_de_Comissions_Obreres_de_Catalunya	Arxiu Històric de Comissions Obreres de Catalunya
http://www.wikidata.org/entity/Q8203680	https://ca.wikipedia.org/wiki/Arxiu_de_la_Reial_Cancelleria_de_Granada	Arxiu de la Real Chancillería de Granada
http://www.wikidata.org/entity/Q1131877	https://ca.wikipedia.org/wiki/Institut_de_la_Imatge_i_el_So_dels_Pa%C3%AFsos_Baixos	Institut de la Imatge i el So dels Països Baixos
http://www.wikidata.org/entity/Q8203644	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_de_la_Ciutat_de_Barcelona	Arxiu Històric de la Ciutat de Barcelona
http://www.wikidata.org/entity/Q634421	https://ca.wikipedia.org/wiki/Centre_de_Documentaci%C3%B3_i_Museu_de_les_Arts_Esc%C3%A8niques	Centre de Documentació i Museu de les Arts Escèniques
http://www.wikidata.org/entity/Q648266	https://ca.wikipedia.org/wiki/Wayback_Machine	Wayback Machine
http://www.wikidata.org/entity/Q537883	https://ca.wikipedia.org/wiki/Arxiu_General_de_Simancas	Arxiu General de Simancas
http://www.wikidata.org/entity/Q477051	https://ca.wikipedia.org/wiki/Arxiu_General_d%27%C3%8Dndies	Arxiu General d'Índies
http://www.wikidata.org/entity/Q3816577	https://ca.wikipedia.org/wiki/Museu-Arxiu_Tom%C3%A0s_Balvey	Museu-Arxiu Tomàs Balvey de Cardedeu
http://www.wikidata.org/entity/Q5702898	https://ca.wikipedia.org/wiki/Arxiu_Central_d%27Educaci%C3%B3	Arxiu Central d'Educació
http://www.wikidata.org/entity/Q6974201	https://ca.wikipedia.org/wiki/Centre_Nacional_de_Literatura	Centre Nacional de Literatura
http://www.wikidata.org/entity/Q5531705	https://ca.wikipedia.org/wiki/Arxiu_General_de_la_Guerra_Civil_Espanyola	Arxiu General de la Guerra Civil
http://www.wikidata.org/entity/Q3816478	https://ca.wikipedia.org/wiki/Museu-Arxiu_de_Vilassar_de_Dalt	Museu-Arxiu de Vilassar de Dalt
http://www.wikidata.org/entity/Q6970373	https://ca.wikipedia.org/wiki/National_Anthropological_Archives	National Anthropological Archives
http://www.wikidata.org/entity/Q2944356	https://ca.wikipedia.org/wiki/Center_for_Creative_Photography	Center for Creative Photography
http://www.wikidata.org/entity/Q3816331	https://ca.wikipedia.org/wiki/Museu_Arxiu_de_Sant_Andreu_de_Llavaneres	Museu Arxiu de Sant Andreu de Llavaneres
http://www.wikidata.org/entity/Q4787316	https://ca.wikipedia.org/wiki/Arxiu_Nacional_de_la_Mem%C3%B2ria	Arxiu Nacional de la Memòria
http://www.wikidata.org/entity/Q1768002	https://ca.wikipedia.org/wiki/Arxiu_Hist%C3%B2ric_Nacional	Arxiu Històric Nacional
http://www.wikidata.org/entity/Q3819476	https://ca.wikipedia.org/wiki/Museu_Arxiu_Municipal_de_Calella_Josep_Maria_Codina_i_Bagu%C3%A9	Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué
http://www.wikidata.org/entity/Q3571546	https://ca.wikipedia.org/wiki/Arxiu_de_la_Corona_d%27Arag%C3%B3	Arxiu de la Corona d'Aragó
http://www.wikidata.org/entity/Q1526131	https://ca.wikipedia.org/wiki/Biblioteca_Reial_(Pa%C3%AFsos_Baixos)	Biblioteca Reial
http://www.wikidata.org/entity/Q1667757	https://ca.wikipedia.org/wiki/Institut_Internacional_d%27Hist%C3%B2ria_Social	Institut Internacional d'Història Social
http://www.wikidata.org/entity/Q1511162	https://ca.wikipedia.org/wiki/WebCite	WebCite
http://www.wikidata.org/entity/Q2778411	https://ca.wikipedia.org/wiki/Biblioteca_Nacional_d%27Egipte	Biblioteca Nacional d'Egipte
http://www.wikidata.org/entity/Q1769248	https://ca.wikipedia.org/wiki/Arquivo_Nacional_da_Torre_do_Tombo	Arquivo Nacional da Torre do Tombo
http://www.wikidata.org/entity/Q131454	https://ca.wikipedia.org/wiki/Biblioteca_del_Congr%C3%A9s_dels_Estats_Units	Biblioteca del Congrés dels Estats Units
http://www.wikidata.org/entity/Q75430	https://ca.wikipedia.org/wiki/Patrimoni_Digital_de_Catalunya	PADICAT
http://www.wikidata.org/entity/Q2311683	https://ca.wikipedia.org/wiki/ChemSpider	ChemSpider
http://www.wikidata.org/entity/Q1347705	https://ca.wikipedia.org/wiki/National_Space_Science_Data_Center	National Space Science Data Center
http://www.wikidata.org/entity/Q905695	https://ca.wikipedia.org/wiki/UniProt	UniProt
http://www.wikidata.org/entity/Q20102842	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_de_l%27Alt_Camp	Arxiu Comarcal de l'Alt Camp
http://www.wikidata.org/entity/Q21081686	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_de_la_Segarra	Arxiu Comarcal de la Segarra
http://www.wikidata.org/entity/Q17156933	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_de_l%27Alt_Empord%C3%A0	Arxiu Comarcal de l'Alt Empordà
http://www.wikidata.org/entity/Q20102848	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_de_la_Terra_Alta	Arxiu Comarcal de la Terra Alta
http://www.wikidata.org/entity/Q17152387	https://ca.wikipedia.org/wiki/Arxiu_Dioces%C3%A0_de_Barcelona	Arxiu Diocesà de Barcelona
http://www.wikidata.org/entity/Q17156934	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_de_l%27Alt_Pened%C3%A8s	Arxiu Comarcal de l'Alt Penedès
http://www.wikidata.org/entity/Q17073815	https://ca.wikipedia.org/wiki/Paleobiology_Database	Paleobiology Database
http://www.wikidata.org/entity/Q17152390	https://ca.wikipedia.org/wiki/Arxiu_Dioces%C3%A0_de_Solsona	Arxiu Diocesà de Solsona
http://www.wikidata.org/entity/Q2860568	https://ca.wikipedia.org/wiki/Arxius_d%27Art_Americ%C3%A0	Arxius d'Art Americà
http://www.wikidata.org/entity/Q11906804	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_del_Garraf	Arxiu Comarcal del Garraf
http://www.wikidata.org/entity/Q22661177	https://ca.wikipedia.org/wiki/Zenodo	Zenodo
