item	label
http://www.wikidata.org/entity/Q17622833	Biblioteca Municipal de Bidebarrieta
http://www.wikidata.org/entity/Q29771	Fort Rotterdam
http://www.wikidata.org/entity/Q59832274	California Library Hall of Fame
http://www.wikidata.org/entity/Q1093313	Ciutadella del Quebec
http://www.wikidata.org/entity/Q5412157	Europe PubMed Central
http://www.wikidata.org/entity/Q525981	Biblioteca i museu presidencial Harry S. Truman
http://www.wikidata.org/entity/Q16609717	Alma Mater Museum
http://www.wikidata.org/entity/Q11909313	Biblioteca Pública Lluís Barceló i Bou
http://www.wikidata.org/entity/Q7414874	Institut Nacional Sanmartinià
http://www.wikidata.org/entity/Q153713	Camp de concentració d'Herzogenbusch
http://www.wikidata.org/entity/Q1754354	Biblioteca i Museu Presidencial Richard Nixon
http://www.wikidata.org/entity/Q1853779	Biblioteca i Museu Presidencial de Lyndon Baines Johnson
http://www.wikidata.org/entity/Q8622	Bibliothèque municipale de Lyon
http://www.wikidata.org/entity/Q562230	USS Yorktown
http://www.wikidata.org/entity/Q16335227	galeria Uffizi
http://www.wikidata.org/entity/Q2256277	Fonoteca Nacional Suïssa
http://www.wikidata.org/entity/Q6034323	Museo de la batalla de las Navas de Tolosa
http://www.wikidata.org/entity/Q18325671	Mills College Art Museum
http://www.wikidata.org/entity/Q1311808	Museu del Ferrocarril de Sigmundsherberg
http://www.wikidata.org/entity/Q37350592	Fort Moultrie Visitor Center
http://www.wikidata.org/entity/Q14917275	Staatsgalerie Stuttgart
http://www.wikidata.org/entity/Q688704	Museu d'Història Natural de Viena
http://www.wikidata.org/entity/Q848411	Museu d'Història Natural de Göteborg
http://www.wikidata.org/entity/Q35998685	Harry Hampton Visitor Center
http://www.wikidata.org/entity/Q1545745	Museu d'Història Natural de  Karlsruhe
http://www.wikidata.org/entity/Q7968628	War in the Pacific National Historical Park
http://www.wikidata.org/entity/Q30751566	MUMA
http://www.wikidata.org/entity/Q36003676	Mammoth Cave National Park Visitor Center
http://www.wikidata.org/entity/Q37883344	Fort Sumter Visitor Education Center
http://www.wikidata.org/entity/Q48002743	Museu Valencia d’Historia Natural
http://www.wikidata.org/entity/Q36000768	Oconaluftee Visitor Center
http://www.wikidata.org/entity/Q60644689	UCLA Music Library
http://www.wikidata.org/entity/Q1500182	USS Texas
http://www.wikidata.org/entity/Q1423093	USS Lexington
http://www.wikidata.org/entity/Q16735529	Fonamental biblioteca de la Universitat Estatal de Bielorússia
http://www.wikidata.org/entity/Q19903358	Artifact Gallery
http://www.wikidata.org/entity/Q21979750	New Wight Art Gallery
http://www.wikidata.org/entity/Q12350703	Kotopo
http://www.wikidata.org/entity/Q19800657	Galerie Zdeněk Sklenář
http://www.wikidata.org/entity/Q20987166	Museum Kunsthaus Heylshof
http://www.wikidata.org/entity/Q61588680	Museu militar al Castell de Montjuic
http://www.wikidata.org/entity/Q55524787	Museu Històric Militar de Figueres
http://www.wikidata.org/entity/Q55452107	Museu històric militar de Caracas
http://www.wikidata.org/entity/Q765870	Naturama
http://www.wikidata.org/entity/Q808531	Barnum's American Museum
http://www.wikidata.org/entity/Q23890843	Biblioteca Municipal Braamcamp Freire
http://www.wikidata.org/entity/Q35555761	Czech Photo Centre
http://www.wikidata.org/entity/Q30918097	Contemporary Art Foundation
http://www.wikidata.org/entity/Q27522479	Museu de Arte, Arquitetura e Tecnologia
http://www.wikidata.org/entity/Q36019519	Kohm Yah-mah-nee Visitor Center
http://www.wikidata.org/entity/Q3912134	Arxius Municipals de Rotterdam
http://www.wikidata.org/entity/Q16489699	Biblioteca Pública de l'Estat a Sòria
http://www.wikidata.org/entity/Q30889527	Galeria d'Art Estatal de Primórie
http://www.wikidata.org/entity/Q2974801	Cité du Volcan
http://www.wikidata.org/entity/Q22233101	Biblioteca Ajuda
http://www.wikidata.org/entity/Q3160507	Jaggar Museum
http://www.wikidata.org/entity/Q28720051	Stadtarchiv Hersbruck
http://www.wikidata.org/entity/Q28808141	Casa-Museu Fuente del Rey
http://www.wikidata.org/entity/Q4315007	Arxiu Històric Nacional de Bielorússia
http://www.wikidata.org/entity/Q28720172	Stadtarchiv Dietfurt
http://www.wikidata.org/entity/Q28720360	Stadtarchiv Lauf
http://www.wikidata.org/entity/Q58656520	Whitney Western Art Museum
http://www.wikidata.org/entity/Q59546080	Museu de Belles Arts de la vila de París
http://www.wikidata.org/entity/Q6913429	Morphobank
http://www.wikidata.org/entity/Q856640	La contemporaine
http://www.wikidata.org/entity/Q23777540	MOSDAC
http://www.wikidata.org/entity/Q24262146	Biblioteca de la Casa de Velázquez
http://www.wikidata.org/entity/Q1453477	Freebase
http://www.wikidata.org/entity/Q1531570	Global Biodiversity Information Facility
http://www.wikidata.org/entity/Q23928437	Biblioteca Central de Terrassa
http://www.wikidata.org/entity/Q24286510	Biblioteca Francisco de Zabálburu
http://www.wikidata.org/entity/Q20707560	llac de dades
http://www.wikidata.org/entity/Q28657233	Biblioteca Nacional d'Alemanya (Leipzig)
http://www.wikidata.org/entity/Q28720229	Stadtarchiv Velburg
http://www.wikidata.org/entity/Q28662025	Stadtbücherei Lauf
http://www.wikidata.org/entity/Q28657237	Biblioteca Nacional d'Alemanya (Frankfurt)
http://www.wikidata.org/entity/Q28720305	Stadtarchiv Spalt
http://www.wikidata.org/entity/Q28719827	Stadtarchiv Neumarkt i.d.Opf.
http://www.wikidata.org/entity/Q28720216	Stadtarchiv Altdorf
http://www.wikidata.org/entity/Q28734815	Gemeindearchiv Simmelsdorf
http://www.wikidata.org/entity/Q64032079	Rainbow Forest Museum
http://www.wikidata.org/entity/Q55604500	Australasian Virtual Herbarium
http://www.wikidata.org/entity/Q959038	musée Mucha
http://www.wikidata.org/entity/Q112368	National Cryptologic Museum
http://www.wikidata.org/entity/Q13052794	Museu Ervand  Kochar
http://www.wikidata.org/entity/Q28662118	Stadtbücherei Altdorf
http://www.wikidata.org/entity/Q28729540	Gemeindebücherei Burgthann
http://www.wikidata.org/entity/Q28662262	Stadtbücherei Hersbruck
http://www.wikidata.org/entity/Q28681569	Stadtbibliothek Sulzbach-Rosenberg
http://www.wikidata.org/entity/Q28681830	Stadtbibliothek Röthenbach
http://www.wikidata.org/entity/Q28682142	Stadtbibliothek Neumarkt
http://www.wikidata.org/entity/Q28711074	Biblioteca del Nord
http://www.wikidata.org/entity/Q1005863	Museu de les Cartes Federals
http://www.wikidata.org/entity/Q28662334	Stadtbücherei Hilpoltstein
http://www.wikidata.org/entity/Q28662237	Stadtbücherei Roth
http://www.wikidata.org/entity/Q28662371	Stadtbücherei Parsberg
http://www.wikidata.org/entity/Q28729551	Gemeindebücherei Allersberg
http://www.wikidata.org/entity/Q28729531	Gemeindebücherei Schwarzenbruck
