item	itemLabel	enarticle
http://www.wikidata.org/entity/Q152728	Yukiko Kada	https://en.wikipedia.org/wiki/Yukiko_Kada
http://www.wikidata.org/entity/Q162130	Rosario Green	https://en.wikipedia.org/wiki/Rosario_Green
http://www.wikidata.org/entity/Q166819	Carol Welsman	https://en.wikipedia.org/wiki/Carol_Welsman
http://www.wikidata.org/entity/Q174244	Elisabeth Young-Bruehl	https://en.wikipedia.org/wiki/Elisabeth_Young-Bruehl
http://www.wikidata.org/entity/Q108454	Marie Baum	https://en.wikipedia.org/wiki/Marie_Baum
http://www.wikidata.org/entity/Q111127	Margarete Wittkowski	https://en.wikipedia.org/wiki/Margarete_Wittkowski
http://www.wikidata.org/entity/Q113617	Andrea Kdolsky	https://en.wikipedia.org/wiki/Andrea_Kdolsky
http://www.wikidata.org/entity/Q117058	Lilian Uchtenhagen	https://en.wikipedia.org/wiki/Lilian_Uchtenhagen
http://www.wikidata.org/entity/Q118391	Leonore Siegele-Wenschkewitz	https://en.wikipedia.org/wiki/Leonore_Siegele-Wenschkewitz
http://www.wikidata.org/entity/Q121186	Inge Schmitz-Feuerhake	https://en.wikipedia.org/wiki/Inge_Schmitz-Feuerhake
http://www.wikidata.org/entity/Q123488	Gabriele Klein	https://en.wikipedia.org/wiki/Gabriele_Klein
http://www.wikidata.org/entity/Q126350	Renate Tobies	https://en.wikipedia.org/wiki/Renate_Tobies
http://www.wikidata.org/entity/Q130939	Vigdis Songe-Møller	https://en.wikipedia.org/wiki/Vigdis_Songe-M%C3%B8ller
http://www.wikidata.org/entity/Q144734	Katarzyna Hall	https://en.wikipedia.org/wiki/Katarzyna_Hall
http://www.wikidata.org/entity/Q149748	Medea Benjamin	https://en.wikipedia.org/wiki/Medea_Benjamin
http://www.wikidata.org/entity/Q174473	Rachel Podger	https://en.wikipedia.org/wiki/Rachel_Podger
http://www.wikidata.org/entity/Q175372	Rachel Yanait Ben-Zvi	https://en.wikipedia.org/wiki/Rachel_Yanait_Ben-Zvi
http://www.wikidata.org/entity/Q176812	Édith Lejet	https://en.wikipedia.org/wiki/%C3%89dith_Lejet
http://www.wikidata.org/entity/Q108138	Gisela Bleibtreu-Ehrenberg	https://en.wikipedia.org/wiki/Gisela_Bleibtreu-Ehrenberg
http://www.wikidata.org/entity/Q109373	Hilde Himmelweit	https://en.wikipedia.org/wiki/Hilde_Himmelweit
http://www.wikidata.org/entity/Q109757	Ilse Schwidetzky	https://en.wikipedia.org/wiki/Ilse_Schwidetzky
http://www.wikidata.org/entity/Q109961	Luise Erhard	https://en.wikipedia.org/wiki/Luise_Erhard
http://www.wikidata.org/entity/Q109020	Angelika Kallwass	https://en.wikipedia.org/wiki/Angelika_Kallwass
http://www.wikidata.org/entity/Q111384	Marion Rosen	https://en.wikipedia.org/wiki/Marion_Rosen
http://www.wikidata.org/entity/Q109297	Annette Huber-Klawitter	https://en.wikipedia.org/wiki/Annette_Huber-Klawitter
http://www.wikidata.org/entity/Q113216	Jela Špitková	https://en.wikipedia.org/wiki/Jela_%C5%A0pitkov%C3%A1
http://www.wikidata.org/entity/Q114194	Hannelore Valencak	https://en.wikipedia.org/wiki/Hannelore_Valencak
http://www.wikidata.org/entity/Q117075	Marie Huber	https://en.wikipedia.org/wiki/Marie_Huber
http://www.wikidata.org/entity/Q116025	Adrienne von Speyr	https://en.wikipedia.org/wiki/Adrienne_von_Speyr
http://www.wikidata.org/entity/Q121163	Susanne Schröter	https://en.wikipedia.org/wiki/Susanne_Schr%C3%B6ter
http://www.wikidata.org/entity/Q119597	Angela Kepler	https://en.wikipedia.org/wiki/Angela_Kepler
http://www.wikidata.org/entity/Q124199	Gertrude Blom	https://en.wikipedia.org/wiki/Gertrude_Blom
http://www.wikidata.org/entity/Q126219	Margaret Bentinck, Duchess of Portland	https://en.wikipedia.org/wiki/Margaret_Bentinck,_Duchess_of_Portland
http://www.wikidata.org/entity/Q124439	Anna Tumarkin	https://en.wikipedia.org/wiki/Anna_Tumarkin
http://www.wikidata.org/entity/Q127180	Renée Simonsen	https://en.wikipedia.org/wiki/Ren%C3%A9e_Simonsen
http://www.wikidata.org/entity/Q138022	Susan Carter Holmes	https://en.wikipedia.org/wiki/Susan_Carter_Holmes
http://www.wikidata.org/entity/Q167163	Ruth Lea	https://en.wikipedia.org/wiki/Ruth_Lea
http://www.wikidata.org/entity/Q168460	Luciana Pedraza	https://en.wikipedia.org/wiki/Luciana_Pedraza
http://www.wikidata.org/entity/Q172695	Elizabeth Johnson	https://en.wikipedia.org/wiki/Elizabeth_Johnson_(theologian)
http://www.wikidata.org/entity/Q108687	Helga Königsdorf	https://en.wikipedia.org/wiki/Helga_K%C3%B6nigsdorf
http://www.wikidata.org/entity/Q109868	Birgit Prinz	https://en.wikipedia.org/wiki/Birgit_Prinz
http://www.wikidata.org/entity/Q116536	Regula Tschumi	https://en.wikipedia.org/wiki/Regula_Tschumi
http://www.wikidata.org/entity/Q118355	Karin Lochte	https://en.wikipedia.org/wiki/Karin_Lochte
http://www.wikidata.org/entity/Q118721	Aline Valangin	https://en.wikipedia.org/wiki/Aline_Valangin
http://www.wikidata.org/entity/Q121496	Anna Johnson Pell Wheeler	https://en.wikipedia.org/wiki/Anna_Johnson_Pell_Wheeler
http://www.wikidata.org/entity/Q121374	Pia Gyger	https://en.wikipedia.org/wiki/Pia_Gyger
http://www.wikidata.org/entity/Q122204	Fanny Hoppe-Moser	https://en.wikipedia.org/wiki/Fanny_Moser_(scientist)
