order	rank	section	wd_q_id	lang
3	1	مجموعات المتحف	Q808462	ar
3	2	معارض	Q808462	ar
0	1	موقعه	Q674427	ar
0	2	التأسيس	Q674427	ar
1	1	المجموعة	Q674427	ar
1	2	العمارة	Q674427	ar
2	1	أهداف المتحف	Q674427	ar
2	2	الهندسة المعمارية	Q674427	ar
3	1	مجموعات المتحف	Q674427	ar
3	2	معارض	Q674427	ar
0	1	موقعه	Q700222	ar
0	2	التأسيس	Q700222	ar
1	1	المجموعة	Q700222	ar
1	2	العمارة	Q700222	ar
2	1	أهداف المتحف	Q700222	ar
2	2	الهندسة المعمارية	Q700222	ar
3	1	مجموعات المتحف	Q700222	ar
3	2	معارض	Q700222	ar
0	1	موقعه	Q1435689	ar
0	2	التأسيس	Q1435689	ar
1	1	المجموعة	Q1435689	ar
1	2	العمارة	Q1435689	ar
2	1	أهداف المتحف	Q1435689	ar
2	2	الهندسة المعمارية	Q1435689	ar
3	1	مجموعات المتحف	Q1435689	ar
3	2	معارض	Q1435689	ar
0	1	موقعه	Q1568434	ar
0	2	التأسيس	Q1568434	ar
1	1	المجموعة	Q1568434	ar
1	2	العمارة	Q1568434	ar
2	1	أهداف المتحف	Q1568434	ar
2	2	الهندسة المعمارية	Q1568434	ar
3	1	مجموعات المتحف	Q1568434	ar
3	2	معارض	Q1568434	ar
0	1	موقعه	Q7319839	ar
0	2	التأسيس	Q7319839	ar
1	1	المجموعة	Q7319839	ar
1	2	العمارة	Q7319839	ar
2	1	أهداف المتحف	Q7319839	ar
2	2	الهندسة المعمارية	Q7319839	ar
3	1	مجموعات المتحف	Q7319839	ar
3	2	معارض	Q7319839	ar
0	1	موقعه	Q2365880	ar
0	2	التأسيس	Q2365880	ar
1	1	المجموعة	Q2365880	ar
1	2	العمارة	Q2365880	ar
2	1	أهداف المتحف	Q2365880	ar
2	2	الهندسة المعمارية	Q2365880	ar
3	1	مجموعات المتحف	Q2365880	ar
3	2	معارض	Q2365880	ar
0	1	تاريخ المكتبة	Q4314822	ar
0	2	التأسيس	Q4314822	ar
1	1	أهداف المكتبة	Q4314822	ar
1	2	المكتبة	Q4314822	ar
2	1	أقسامها	Q4314822	ar
2	2	الإفتتاح	Q4314822	ar
3	1	انظر ايضاً	Q4314822	ar
3	2	الخدمات	Q4314822	ar
4	1	الفن المعاصر	Q4314822	ar
4	2	المنشأت	Q4314822	ar
0	1	موقعه	Q1754105	ar
0	2	التأسيس	Q1754105	ar
1	1	المجموعة	Q1754105	ar
1	2	العمارة	Q1754105	ar
2	1	أهداف المتحف	Q1754105	ar
2	2	الهندسة المعمارية	Q1754105	ar
3	1	مجموعات المتحف	Q1754105	ar
3	2	معارض	Q1754105	ar
0	1	موقعه	Q812285	ar
0	2	التأسيس	Q812285	ar
1	1	المجموعة	Q812285	ar
1	2	العمارة	Q812285	ar
2	1	أهداف المتحف	Q812285	ar
2	2	الهندسة المعمارية	Q812285	ar
3	1	مجموعات المتحف	Q812285	ar
3	2	معارض	Q812285	ar
0	1	موقعه	Q861660	ar
0	2	التأسيس	Q861660	ar
1	1	المجموعة	Q861660	ar
1	2	العمارة	Q861660	ar
2	1	أهداف المتحف	Q861660	ar
2	2	الهندسة المعمارية	Q861660	ar
3	1	مجموعات المتحف	Q861660	ar
3	2	معارض	Q861660	ar
0	1	موقعه	Q1509201	ar
0	2	التأسيس	Q1509201	ar
1	1	المجموعة	Q1509201	ar
1	2	العمارة	Q1509201	ar
2	1	أهداف المتحف	Q1509201	ar
2	2	الهندسة المعمارية	Q1509201	ar
3	1	مجموعات المتحف	Q1509201	ar
3	2	معارض	Q1509201	ar
0	1	موقعه	Q1786577	ar
0	2	التأسيس	Q1786577	ar
1	1	المجموعة	Q1786577	ar
1	2	العمارة	Q1786577	ar
2	1	أهداف المتحف	Q1786577	ar
2	2	الهندسة المعمارية	Q1786577	ar
3	1	مجموعات المتحف	Q1786577	ar
3	2	معارض	Q1786577	ar
0	1	موقعه	Q1700481	ar
0	2	التأسيس	Q1700481	ar
1	1	المجموعة	Q1700481	ar
1	2	العمارة	Q1700481	ar
2	1	أهداف المتحف	Q1700481	ar
2	2	الهندسة المعمارية	Q1700481	ar
3	1	مجموعات المتحف	Q1700481	ar
3	2	معارض	Q1700481	ar
0	1	موقعه	Q176251	ar
0	2	التأسيس	Q176251	ar
1	1	المجموعة	Q176251	ar
1	2	العمارة	Q176251	ar
2	1	أهداف المتحف	Q176251	ar
2	2	الهندسة المعمارية	Q176251	ar
3	1	مجموعات المتحف	Q176251	ar
3	2	معارض	Q176251	ar
0	1	موقعه	Q1641836	ar
0	2	التأسيس	Q1641836	ar
1	1	المجموعة	Q1641836	ar
1	2	العمارة	Q1641836	ar
2	1	أهداف المتحف	Q1641836	ar
2	2	الهندسة المعمارية	Q1641836	ar
3	1	مجموعات المتحف	Q1641836	ar
3	2	معارض	Q1641836	ar
